# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec  5 09:31:27 2023
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN st_spectype:    Spectral Type
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_jmag:        J (2MASS) Magnitude
# COLUMN sy_hmag:        H (2MASS) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_w1mag:       W1 (WISE) Magnitude
# COLUMN sy_w2mag:       W2 (WISE) Magnitude
# COLUMN sy_w3mag:       W3 (WISE) Magnitude
# COLUMN sy_w4mag:       W4 (WISE) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_tmag:        TESS Magnitude
#
pl_name,pl_radj,pl_bmassj,pl_dens,pl_orbeccen,pl_eqt,pl_orbincl,st_spectype,sy_dist,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_tmag
2MASS J01225093-2439505 b,1.000,24.50000,30.400000,,1600,,M3.5 V,33.8281000,15.7060000,14.2440000,10.0840000,9.4700000,9.1980000,9.0220000,8.8570000,8.7470000,8.2980000,12.9025000,11.6243000
2MASS J02192210-3925225 b,1.440,13.90000,5.770000,,,,M6,40.0896412,18.5490000,,11.3810000,10.8110000,10.4040000,10.1480000,9.9010000,9.6140000,9.0010000,15.0123000,13.4304000
2MASS J04414489+2301513 b,1.130,7.50000,6.550000,,,,M8.5,120.4239870,,,14.4190000,13.7260000,13.1610000,,,,,18.9668000,17.1815000
2MASS J12073346-3932539 b,1.150,5.00000,4.070000,,1250,,M8,64.3080000,,20.1500000,12.9950000,12.3880000,11.9450000,11.5740000,11.0170000,9.4690000,8.1210000,17.4076000,15.6620000
2MASS J19383260+4603591 b,1.200,1.90000,1.380000,0.330000,,,,396.3320000,12.1120000,12.6510000,12.7570000,12.8890000,12.9550000,12.8620000,12.9200000,12.6700000,9.2030000,12.1376000,12.4561000
2MASS J22362452+4751425 b,1.100,12.50000,11.700000,,,,K7 V,69.5737000,13.7310000,12.3680000,9.9750000,9.3380000,9.1480000,9.0580000,9.0940000,8.9470000,8.7310000,11.9484000,11.1286000
30 Ari B b,1.100,13.82000,13.000000,0.290000,,,F6 V,44.6570000,7.4580000,7.0920900,6.0800000,5.9080000,5.8220000,5.9630000,5.6690000,5.8250000,5.6790000,6.9608500,6.6040000
4 UMa b,1.120,7.90200,6.900000,0.453000,,,K1 III,73.4603000,5.7700000,4.5801000,2.6190000,2.0210000,1.7340000,-0.3420000,0.1000000,1.8170000,1.7550000,4.2377300,3.5681000
42 Dra b,1.160,3.88000,3.080000,0.380000,,,K1.5 III,90.6545000,6.0050000,4.8262000,2.9490000,2.1970000,2.0850000,-0.1520000,0.3720000,2.0220000,1.8920000,4.4321600,3.7535000
47 UMa b,1.180,2.53000,1.920000,0.032000,,,G0 V,13.7967000,5.6460000,5.0335200,3.9600000,3.7360000,3.7500000,3.5560000,3.1430000,3.5860000,3.5530000,4.8783700,4.4698000
47 UMa c,1.270,0.54000,0.329000,0.098000,,,G1 V,13.7967000,5.6460000,5.0335200,3.9600000,3.7360000,3.7500000,3.5560000,3.1430000,3.5860000,3.5530000,4.8783700,4.4698000
47 UMa d,1.200,1.64000,1.160000,0.160000,,,G0V,13.7967000,5.6460000,5.0335200,3.9600000,3.7360000,3.7500000,3.5560000,3.1430000,3.5860000,3.5530000,4.8783700,4.4698000
51 Eri b,1.190,2.00000,1.450000,0.450000,700,133.000,F0 IV,29.7575000,5.4860000,5.2114900,4.7440000,4.7700000,4.5370000,4.5430000,4.3100000,4.5750000,4.3900000,5.1580600,4.9574000
51 Peg b,1.270,0.46000,0.275000,0.013000,,80.000,G5V,15.4614000,6.1040000,5.4530900,4.6550000,4.2340000,3.9110000,3.9090000,3.6240000,3.9290000,3.9040000,5.2864700,4.8576000
55 Cnc b,1.240,0.83060,0.540000,0.000000,700,89.730,K0 IV-V,12.5855000,6.8160000,5.9508400,4.7680000,4.2650000,4.0150000,4.0010000,3.2960000,4.0510000,4.0140000,5.7297300,5.2058000
55 Cnc c,0.760,0.17140,0.486000,0.030000,,89.730,G8V,12.5855000,6.8160000,5.9508400,4.7680000,4.2650000,4.0150000,4.0010000,3.2960000,4.0510000,4.0140000,5.7297300,5.2058000
55 Cnc d,1.160,3.87800,3.080000,0.130000,,89.730,G8 V,12.5855000,6.8160000,5.9508400,4.7680000,4.2650000,4.0150000,4.0010000,3.2960000,4.0510000,4.0140000,5.7297300,5.2058000
55 Cnc e,0.167,0.02514,6.660000,0.050000,1958,83.590,G8 V,12.5855000,6.8160000,5.9508400,4.7680000,4.2650000,4.0150000,4.0010000,3.2960000,4.0510000,4.0140000,5.7297300,5.2058000
55 Cnc f,0.677,0.14100,0.563000,0.080000,,89.730,G8V,12.5855000,6.8160000,5.9508400,4.7680000,4.2650000,4.0150000,4.0010000,3.2960000,4.0510000,4.0140000,5.7297300,5.2058000
6 Lyn b,1.200,1.88100,1.370000,0.042000,,,K0 IV,54.6599000,6.7960000,5.8730700,4.2720000,3.8250000,3.7010000,3.6620000,2.9160000,3.6890000,3.5890000,5.6068600,5.0436000
61 Vir b,0.188,0.01600,2.980000,0.120000,,,G5 V,8.5033200,0.0720000,4.6955000,3.3340000,2.9740000,2.9560000,2.1440000,2.7910000,3.0910000,2.9860000,4.5405200,4.0850000
61 Vir c,0.398,0.05700,1.130000,0.140000,,,G5 V,8.5033200,0.0720000,4.6955000,3.3340000,2.9740000,2.9560000,2.1440000,2.7910000,3.0910000,2.9860000,4.5405200,4.0850000
61 Vir d,0.456,0.07200,0.943000,0.350000,,,G5 V,8.5033200,0.0720000,4.6955000,3.3340000,2.9740000,2.9560000,2.1440000,2.7910000,3.0910000,2.9860000,4.5405200,4.0850000
7 CMa b,1.200,1.85000,1.340000,0.060000,,90.000,K1 III,19.8101000,5.0130000,3.9500000,2.1730000,1.6790000,1.5640000,-0.6820000,-0.5250000,1.6530000,1.5410000,3.6785300,3.0677000
7 CMa c,1.240,0.87000,0.566000,0.080000,,90.000,K1III(+M),19.8101000,5.0130000,3.9500000,2.1730000,1.6790000,1.5640000,-0.6820000,-0.5250000,1.6530000,1.5410000,3.6785300,3.0677000
70 Vir b,1.130,7.49000,6.540000,0.398800,,,G5V,17.9011000,5.6780000,4.9680800,3.7980000,3.4570000,3.5000000,2.4900000,2.9510000,3.2570000,3.1860000,4.7617800,4.2943000
75 Cet b,1.180,2.47900,1.840000,0.093000,,,G3 III,82.9613000,6.3660000,5.3532000,3.9310000,3.3180000,3.2070000,2.1010000,2.7910000,3.0380000,2.9880000,5.0934300,4.5054000
75 Cet c,1.240,0.91200,0.593000,0.023000,,,G3 III,82.9613000,6.3660000,5.3532000,3.9310000,3.3180000,3.2070000,2.1010000,2.7910000,3.0380000,2.9880000,5.0934300,4.5054000
8 UMi b,1.220,1.31000,0.910000,0.060000,,,K0,162.5520000,7.8340000,6.8329500,5.0690000,4.7490000,4.5150000,4.4680000,4.1870000,4.4730000,4.4150000,6.5589600,5.9676100
81 Cet b,1.170,3.30700,2.570000,0.037000,,,G5 III,101.2600000,6.6750000,5.6430700,3.9400000,3.3860000,3.2660000,3.3130000,3.0360000,3.2970000,3.2420000,5.3758800,4.7785300
91 Aqr b,1.170,3.20000,2.490000,0.027000,,,K0 III,44.0304000,5.3500000,4.2394600,2.2630000,1.6900000,1.5970000,-0.3680000,0.1080000,1.7900000,1.6980000,3.9531100,3.3221000
AB Aur b,1.120,9.00000,8.050000,0.400000,,42.600,,162.1270000,7.1930000,7.0760000,5.9360000,5.0620000,4.2300000,3.2890000,1.6690000,0.5420000,-1.7230000,7.0785400,6.9432100
AB Pic b,1.100,13.50000,12.700000,,,,K2 V,50.0475000,10.1480000,9.1300000,7.5760000,7.0880000,6.9810000,6.8970000,6.8880000,6.8580000,6.8290000,8.8378000,8.2763000
AF Lep b,1.170,3.20000,2.490000,0.240000,1400,50.000,F8 V,26.8564000,6.8540000,6.3320000,5.2680000,5.0870000,4.9260000,4.9150000,4.7830000,4.9040000,4.8030000,6.1864400,5.7932000
AU Mic b,0.353,0.06330,1.320000,0.186000,600,89.500,M1,9.7221000,10.2090000,8.8100000,5.4360000,4.8310000,4.5290000,4.4490000,4.0080000,4.3130000,4.1400000,7.8403800,6.7550000
AU Mic c,0.289,0.03020,1.220000,0.003380,459,89.227,M1,9.7221000,10.2090000,8.8100000,5.4360000,4.8310000,4.5290000,4.4490000,4.0080000,4.3130000,4.1400000,7.8403800,6.7550000
AU Mic d,0.091,0.00331,5.450000,0.003050,,89.318,M1,9.7221000,10.2090000,8.8100000,5.4360000,4.8310000,4.5290000,4.4490000,4.0080000,4.3130000,4.1400000,7.8403800,6.7550000
BD+03 2562 b,1.130,6.40000,5.460000,0.200000,,,,1070.6300000,10.7950000,9.5770000,6.9600000,6.1860000,6.0210000,5.9560000,5.9760000,5.9690000,5.8290000,8.9977000,8.2014000
BD+14 4559 b,1.230,1.04000,0.691000,0.290000,,,K2 V,49.3520000,10.5810000,9.7800000,7.8820000,7.4550000,7.3360000,7.2070000,7.3500000,7.2890000,7.1760000,9.3510800,8.7505000
BD+15 2375 b,1.230,1.06100,0.705000,0.001000,,,G5,768.0450000,11.3870000,10.4100000,8.3720000,7.8620000,7.7180000,7.6490000,7.7990000,7.6920000,7.4250000,9.9918000,9.3605000
BD+15 2940 b,1.230,1.11000,0.754000,0.260000,,,K0,426.4200000,10.1210000,9.0100000,7.1540000,6.6640000,6.5250000,6.5270000,6.5380000,6.4990000,6.3770000,8.7178000,8.1004000
BD+20 2457 b,1.080,21.42000,21.100000,0.150000,,,K2 II,1539.7100000,10.9890000,9.7430000,7.2990000,6.6060000,6.4200000,6.3800000,6.3550000,6.3630000,6.1910000,9.2268400,8.4752000
BD+20 2457 c,1.100,12.47000,11.400000,0.180000,,,K2 II,1539.7100000,10.9890000,9.7430000,7.2990000,6.6060000,6.4200000,6.3800000,6.3550000,6.3630000,6.1910000,9.2268400,8.4752000
BD+20 274 b,1.160,4.20000,3.340000,0.210000,,,K5 III,1322.5100000,10.7200000,9.3670000,7.0030000,6.3370000,6.1690000,6.1070000,6.1410000,6.1060000,5.9910000,8.9161300,8.1716000
BD+20 594 b,0.230,0.07000,7.890000,0.000000,546,89.550,G,179.4610000,11.7650000,10.8490000,9.7700010,9.4320000,9.3680000,9.3100000,9.3440000,9.3320000,8.9760000,10.8644000,10.4021000
BD+45 564 b,1.210,1.36000,0.944000,0.120000,,2.579,K1,53.6220000,10.5360000,9.6700000,8.0630000,7.6450000,7.5570000,,,,,9.4126600,8.8588000
BD+48 738 b,1.240,0.91000,0.592000,0.200000,,,K0 III,871.4930000,10.3520000,9.1390000,6.7040000,6.0770000,5.9040000,5.8870000,5.8310000,5.8540000,5.7460000,8.6556900,7.8885000
BD+48 740 b,1.200,1.70000,1.210000,0.760000,,,K3 III,666.5890000,10.5100000,8.6900000,6.3850000,5.7910000,5.6450000,5.5550000,5.4970000,5.5610000,5.4790000,8.2644900,7.5248000
BD+49 828 b,1.210,1.60000,1.140000,0.350000,,,K0,442.0420000,10.5080000,9.3810000,7.2460000,6.7290000,6.5710000,6.5030000,6.5250000,6.5090000,6.3630000,9.0285100,8.3267800
BD+55 362 b,1.250,0.72000,0.458000,0.270000,,0.601,K3,52.5697000,10.2990000,9.3800000,7.8260000,7.4430000,7.3310000,,,,,9.1530500,8.6036000
BD+60 1417 b,1.310,15.00000,8.270000,,1303,,K0,44.9543000,10.3790000,9.3740000,7.8230000,7.3580000,7.2880000,7.1770000,7.2890000,7.2430000,7.1350000,9.1743900,8.6054000
BD+63 1405 b,1.110,10.40000,9.530000,0.880000,,5.974,K0,38.0473000,9.8300000,8.9600000,7.3030000,6.8950000,6.7800000,6.7110000,6.7300000,6.7400000,6.6700000,8.7050000,8.1519000
BD-00 4475 b,1.070,25.05000,25.300000,0.390000,,13.310,G0,42.6402000,9.9140000,9.0100000,7.4830000,7.1360000,6.9960000,6.8670000,7.0010000,6.9850000,6.9770000,8.7810100,8.2452000
BD-06 1339 b,0.254,0.02700,2.020000,0.000000,,,K7/M0 V,20.2695000,10.9720000,9.7000000,7.1280000,6.5170000,6.3050000,6.2660000,6.2320000,6.2310000,6.2130000,9.1067700,8.2906000
BD-06 1339 c,0.747,0.17000,0.495000,0.310000,,,K7/M0 V,20.2695000,10.9720000,9.7000000,7.1280000,6.5170000,6.3050000,6.2660000,6.2320000,6.2310000,6.2130000,9.1067700,8.2906000
BD-08 2823 b,0.322,0.04000,1.480000,0.150000,,,K3 V,41.3342000,10.8800000,9.8600000,7.9600000,7.4980000,7.3230000,7.2130000,7.3420000,7.2920000,7.3950000,9.5033100,8.8600000
BD-08 2823 c,1.110,0.33000,0.293000,0.190000,,,K3 V,41.3342000,10.8800000,9.8600000,7.9600000,7.4980000,7.3230000,7.2130000,7.3420000,7.2920000,7.3950000,9.5033100,8.8600000
BD-10 3166 b,1.260,0.59000,0.368000,0.020000,,,K0 V,84.4069000,10.8780000,10.0130000,8.6110000,8.3000000,8.1240000,8.1090000,8.1410000,8.1450010,7.5660000,9.8398100,9.3253000
BD-11 4672 b,1.250,0.65000,0.405000,0.050000,,,K7 V,27.1665000,11.2430000,10.0300000,7.6510000,7.0310000,6.8670000,6.8380000,6.8420000,6.8860000,6.9900000,9.4851100,8.7204000
BD-11 4672 c,0.360,0.04836,1.280000,0.400000,,,K7V,27.1665000,11.2430000,10.0300000,7.6510000,7.0310000,6.8670000,6.8380000,6.8420000,6.8860000,6.9900000,9.4851100,8.7204000
BD-13 2130 b,1.110,9.78000,8.750000,0.210000,,,G5 IV/V,925.2140000,11.3130000,10.0380000,7.9400000,7.3710000,7.1510000,7.0510000,7.2170000,7.0940000,6.9830000,9.6997100,8.9990000
BD-17 63 b,1.150,5.10000,4.250000,0.540000,,,K5 V,34.4603000,10.6770000,9.6200000,7.5740000,7.0270000,6.9140000,6.8460000,6.9230000,6.8970000,6.8760000,9.2011200,8.5246000
BD-210397 b,1.250,0.70000,0.429000,0.100000,,,K7 V,23.7324000,11.1370000,9.8400000,7.2960000,6.6650000,6.5040000,,,,,9.2596200,8.4502000
BD-210397 c,1.150,4.80000,3.910000,0.430000,,33.000,K7 V,23.7324000,11.1370000,9.8400000,7.2960000,6.6650000,6.5040000,,,,,9.2596200,8.4502000
CD Cet b,0.162,0.01243,3.600000,,464,87.480,M5.0 V,8.6071500,,13.9500000,8.7750000,8.2080000,7.8330000,,,,,12.1232000,10.6701000
CFBDSIR J145829+101343 b,1.110,10.50000,9.620000,,370,,,23.1000000,,,,,,,,,,,
CFHTWIR-Oph 98 b,1.860,7.80000,1.500000,,1800,,M9-L1,,,,16.7750000,15.5740000,14.5930000,13.9900000,13.2310000,10.5210000,8.0560000,,18.5250000
CHXR 73 b,1.100,12.56900,11.800000,,,,M3.5,190.3740000,,,12.6740000,11.3170000,10.7030000,10.2750000,10.2010000,10.1080000,9.4060000,17.2934000,15.6098000
CI Tau b,1.110,11.60000,10.600000,0.250000,,50.500,K7,157.9980000,15.5600000,13.6420000,9.4800000,8.4310000,7.7930000,6.7560000,6.0320000,4.3670000,2.4120000,12.1454000,11.1809000
COCONUTS-2 b,1.110,6.30000,5.710000,,434,,M3 V,10.8864000,12.9830000,11.2980000,7.4060000,6.8620000,6.5790000,6.4900000,6.2440000,6.2190000,6.0740000,10.1460000,8.9448800
CT Cha b,2.200,17.00000,1.980000,,2600,,K5e,190.7200000,13.7990000,12.3350000,9.7150000,8.9440000,8.6610000,7.8980000,7.0670000,4.8590000,2.7290000,11.7733000,10.9363000
CoRoT-1 b,1.490,1.03000,0.380000,0.000000,1898,85.100,G0 V,787.9090000,14.1580000,13.6230000,12.4620000,12.2180000,12.1490000,12.0980000,12.1360000,12.2900000,9.0910000,13.4570000,13.0501000
CoRoT-10 b,0.970,2.75000,3.700000,0.530000,600,88.550,K1 V,338.3860000,17.3440000,15.2930000,12.5270000,11.9290000,11.7820000,11.6400000,11.7520000,11.3960000,8.9230000,14.6645000,13.8215000
CoRoT-11 b,1.430,2.33000,0.990000,0.000000,1657,83.170,F6 V,655.0370000,13.5290000,12.8970000,11.5890000,11.4160000,11.2480000,11.1730000,11.2650000,11.4700000,9.1980000,12.8410000,12.4190000
CoRoT-12 b,1.440,0.91700,0.411000,0.070000,1442,85.480,,1126.3700000,16.4080000,15.5880000,14.0240000,13.6300000,13.5570000,13.4700000,13.4700000,12.5300000,8.6100000,15.3453000,14.7971000
CoRoT-13 b,0.885,1.30800,2.340000,0.000000,1700,88.020,G0 V,1148.9300000,15.2100000,15.0050000,13.7100000,13.4060000,13.3760000,13.1700000,13.2170000,12.6150000,8.9460000,14.9147000,14.4266000
CoRoT-14 b,1.090,7.60000,7.300000,0.000000,1952,79.600,F9 V,1744.6000000,17.0110000,15.9320000,14.3210000,14.0070000,13.8060000,13.6790000,13.7290000,12.0300000,9.1400000,15.8116000,15.2135000
CoRoT-16 b,1.170,0.53500,0.440000,0.330000,,85.010,G5 V,732.4090000,17.4170000,16.0520000,13.4960000,12.9800000,12.8470000,,,,,15.6507000,14.7587000
CoRoT-17 b,1.020,2.43000,2.820000,0.000000,1626,88.340,G2 V,1176.1200000,17.5900000,16.2900000,13.1740000,12.6150000,12.4720000,,,,,15.4368000,14.4756000
CoRoT-18 b,1.310,3.47000,2.200000,0.080000,1550,86.500,G9 V,764.8890000,15.7510000,14.8680000,13.4410000,13.0810000,13.0140000,12.9550000,12.9550000,11.9680000,8.7710000,14.8009000,14.2465000
CoRoT-19 b,1.290,1.11000,0.710000,0.047000,2000,88.000,F9 V,790.6630000,14.9050000,14.1350000,12.3240000,11.9610000,11.8370000,11.7630000,11.7870000,12.0800000,9.1470000,13.7831000,13.1861000
CoRoT-2 b,1.466,3.47000,1.470000,0.014300,1521,88.080,,213.2830000,13.3460000,12.5160000,10.7830000,10.4380000,10.3100000,10.0640000,10.0980000,10.1890000,9.0350000,12.2489000,11.6659000
CoRoT-20 b,0.840,4.30000,8.870000,0.590000,1024,88.210,G2 V,844.0610000,15.6130000,14.6300000,12.9910000,12.6520000,12.5130000,12.4460000,12.4600000,12.5410000,8.4930000,14.4686000,13.8786000
CoRoT-20 c,1.090,17.00000,16.400000,0.600000,,,G2 V,844.0610000,15.6130000,14.6300000,12.9910000,12.6520000,12.5130000,12.4460000,12.4600000,12.5410000,8.4930000,14.4686000,13.8786000
CoRoT-21 b,1.300,2.26000,1.360000,0.000000,,86.800,F8 IV,1398.8341969,16.6630000,16.0580000,14.3400000,13.9800000,13.8130000,13.6740000,13.6900000,12.4950000,9.0060000,15.8558000,15.2756000
CoRoT-22 b,0.435,0.03800,0.249000,0.077000,885,89.749,G3 V,627.1580000,14.7400000,13.8200000,12.4140000,12.0990000,11.9880000,11.8890000,11.9500000,11.5640000,8.8700000,13.7305000,13.2006000
CoRoT-23 b,1.050,2.80000,3.000000,0.160000,1660,85.700,G0 V,1060.9700000,16.7270000,15.6750000,12.9440000,12.4500000,12.3640000,12.1400000,12.1730000,12.2590000,8.3540000,15.0681000,14.1956000
CoRoT-24 b,0.330,0.01800,0.900000,0.000000,1070,86.500,K1 V,591.5550000,16.5930000,15.3830000,13.5950000,13.0460000,12.9240000,12.8980000,13.0010000,12.4180000,9.0390000,15.1801000,14.5115000
CoRoT-24 c,0.440,0.08800,1.300000,0.000000,850,89.000,K1 V,591.5550000,16.5930000,15.3830000,13.5950000,13.0460000,12.9240000,12.8980000,13.0010000,12.4180000,9.0390000,15.1801000,14.5115000
CoRoT-25 b,1.080,0.27000,0.150000,0.000000,1330,84.500,F9,1103.4800000,15.8960000,14.7900000,13.3000000,12.9900000,12.8460000,12.8660000,12.9090000,12.0510000,8.7480000,14.7110000,14.1354000
CoRoT-26 b,1.260,0.52000,0.280000,0.000000,1600,86.800,G5,1045.1800000,17.5950000,15.8610000,13.8130000,13.3580000,13.2610000,13.1580000,13.2950000,12.0820000,8.8070000,15.4682000,14.8162000
CoRoT-27 b,1.007,10.39000,12.600000,0.065000,1500,86.700,G2,1010.2800000,17.1170000,15.7740000,13.5710000,13.1700000,12.9850000,12.9530000,13.0680000,12.3510000,9.0340000,15.3902000,14.6258000
CoRoT-28 b,0.955,0.48400,0.690000,0.047000,,88.100,G8/9 IV,766.1830000,15.0140000,13.7830000,11.6010000,11.1430000,11.0320000,10.9260000,11.0050000,11.3840000,8.8250000,13.4119000,12.6710000
CoRoT-29 b,0.900,0.85000,1.450000,0.082000,,87.300,K0 V,806.5070000,16.5880000,15.4080000,13.5650000,13.1200000,13.0480000,11.9610000,12.1050000,12.3800000,9.1130000,15.2394000,14.5448000
CoRoT-3 b,1.010,21.66000,26.400000,0.000000,1695,85.900,F3 V,768.7710000,14.1180000,13.4480000,11.9360000,11.7100000,11.6180000,11.3430000,11.3940000,11.3230000,8.9790000,13.2188000,12.7127000
CoRoT-30 b,1.009,2.90000,3.450000,0.007000,,90.000,G3 V,1032.2300000,16.6700000,15.5710000,14.0190000,13.5510000,13.5620000,13.2750000,13.3790000,12.2530000,8.9190000,15.4130000,14.8279000
CoRoT-31 b,1.460,0.84000,0.330000,0.020000,,83.200,G2 IV,2005.7600000,16.7220000,15.4790000,13.9080000,13.4690000,13.4260000,13.3490000,13.4030000,12.3500000,8.6210000,15.4655000,14.8468000
CoRoT-35 b,1.680,1.10000,0.290000,0.000000,1747,84.100,F6 V,1123.2100000,16.7300000,15.6350000,13.4300000,13.0540000,12.9350000,12.7810000,12.8150000,12.3270000,8.8950010,15.2625000,14.5390000
CoRoT-36 b,1.410,0.68000,0.250000,0.000000,1567,85.830,F3 V,925.9580000,13.7530000,13.1260000,11.8590000,11.6410000,11.5920000,11.5120000,11.5390000,11.2340000,8.8720000,12.9515000,12.5161000
CoRoT-4 b,1.190,0.72000,0.525000,0.000000,1074,90.000,,726.4120000,14.2720000,13.6520000,12.6190000,12.3590000,12.2880000,12.1940000,12.2460000,12.1520000,8.8320000,13.5613000,13.1573000
CoRoT-5 b,1.388,0.46700,0.217000,0.090000,1438,85.830,F9 V,882.4720000,14.6100000,14.0430000,12.8710000,12.6090000,12.5460000,12.4790000,12.5210000,12.3040000,8.7010000,13.9021000,13.4831000
CoRoT-6 b,1.166,2.96000,2.320000,0.100000,1017,89.070,F9 V,645.2940000,14.6910000,13.9610000,12.5180000,12.2280000,12.1190000,12.1270000,12.1780000,12.0700000,8.9070000,13.7459000,13.2491000
CoRoT-7 b,0.150,0.01283,9.355000,0.000000,1756,80.100,G9 V,159.9060000,12.7840000,11.7280000,10.3010000,9.8800000,9.8060000,9.7600000,9.8240000,9.7820000,7.9260000,11.5239000,10.9996000
CoRoT-7 c,0.253,0.02643,2.040000,0.000000,,80.000,G9 V,159.9060000,12.7840000,11.7280000,10.3010000,9.8800000,9.8060000,9.7600000,9.8240000,9.7820000,7.9260000,11.5239000,10.9996000
