# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Nov  4 14:52:22 2023
#
# User preference: *
#
# CONSTRAINT:  order by pl_name desc
#
# COLUMN pl_name:        Planet Name
# COLUMN disc_year:      Discovery Year
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,disc_year,pl_radj,pl_bmassj,pl_orbeccen,pl_eqt,sy_dist
eps Tau b,2006,,7.34000,,,47.5285200
eps Ind A b,2019,,3.25000,0.260000,,3.6385700
eps Eri b,2000,,1.70000,0.608000,,3.2026000
eps Eri b,2000,,1.55000,0.702000,,3.2026000
eps Eri b,2000,,0.78000,0.070000,,3.2026000
eps Eri b,2000,,0.65100,0.044000,,3.2026000
eps Eri b,2000,,0.66000,0.070000,,3.2026000
eps CrB b,2012,,6.70000,0.110000,,69.8683000
bet UMi b,2014,,6.10000,0.190000,,38.7747200
bet Pic c,2019,,10.13900,0.314000,,19.7442000
bet Pic c,2019,,9.00000,0.240000,,19.7442000
bet Pic b,2008,,8.00000,,,19.7442000
bet Pic b,2008,,11.72900,0.106000,,19.7442000
bet Pic b,2008,1.650,7.00000,,1612,19.7442000
bet Pic b,2008,,11.00000,,,19.7442000
bet Pic b,2008,1.500,20.00000,,1650,19.7442000
bet Pic b,2008,,,0.080000,,19.7442000
bet Pic b,2008,,9.90000,0.055000,,19.7442000
bet Pic b,2008,,,0.080000,,19.7442000
bet Pic b,2008,,,0.060000,,19.7442000
bet Cnc b,2014,,7.80000,0.080000,,89.0472000
b Cen AB b,2021,,10.90000,0.400000,,98.0935000
alf Tau b,2015,,6.47000,0.100000,,20.4332000
alf Ari b,2010,,1.80000,0.250000,,20.2101900
YZ Cet d,2017,,0.00381,0.020000,,3.7120700
YZ Cet d,2017,,0.00343,0.070000,357,3.7120700
YZ Cet d,2017,,0.00359,0.129000,,3.7120700
YZ Cet c,2017,,0.00359,0.000000,410,3.7120700
YZ Cet c,2017,,0.00182,0.050000,,3.7120700
YZ Cet c,2017,,0.00308,0.040000,,3.7120700
YZ Cet b,2017,,0.00236,0.000000,,3.7120700
YZ Cet b,2017,,0.00205,0.030000,,3.7120700
YZ Cet b,2017,,0.00220,0.060000,471,3.7120700
YSES 2 b,2021,,6.30000,,,109.4060000
YSES 2 b,2021,,8.40000,,,109.4060000
XO-7 b,2019,1.373,0.70900,0.038000,1743,234.1490000
XO-7 b,2019,,,,,234.1490000
XO-7 b,2019,1.372,,,1417,234.1490000
XO-7 b,2019,,,,,234.1490000
XO-6 b,2016,2.070,4.40000,0.000000,1577,235.4790000
XO-6 b,2016,,,,,235.4790000
XO-6 b,2016,,,,,235.4790000
XO-6 b,2016,1.583,,,1372,235.4790000
XO-6 b,2016,,,,,235.4790000
XO-5 b,2008,1.140,1.19000,0.000000,1230,276.2110000
XO-5 b,2008,,1.04400,0.000000,,276.2110000
XO-5 b,2008,,1.05100,0.013000,,276.2110000
XO-5 b,2008,1.050,,,1139,276.2110000
XO-5 b,2008,,,,,276.2110000
XO-5 b,2008,1.089,1.08400,,1203,276.2110000
XO-5 b,2008,1.109,1.04600,0.021000,,276.2110000
XO-5 b,2008,1.150,1.15000,,1244,276.2110000
XO-5 b,2008,,,,,276.2110000
XO-5 b,2008,1.109,1.05900,,,276.2110000
XO-4 b,2008,1.330,1.78000,0.000000,,272.6550000
XO-4 b,2008,,,,,272.6550000
XO-4 b,2008,1.397,,,1580,272.6550000
XO-4 b,2008,1.250,1.42000,0.000000,,272.6550000
XO-4 b,2008,,,,,272.6550000
XO-4 b,2008,,1.55900,0.002000,,272.6550000
XO-4 b,2008,1.287,1.54700,,1630,272.6550000
XO-4 b,2008,1.290,1.52100,,1630,272.6550000
XO-4 b,2008,1.340,1.61200,0.003900,,272.6550000
XO-3 b,2007,1.217,11.70000,0.275870,,213.0530000
XO-3 b,2007,1.410,7.29000,0.290000,,213.0530000
XO-3 b,2007,,,,,213.0530000
XO-3 b,2007,,,,,213.0530000
XO-3 b,2007,,,0.285000,,213.0530000
XO-3 b,2007,1.217,11.79000,0.260000,,213.0530000
XO-3 b,2007,,,,,213.0530000
XO-3 b,2007,1.463,,,1579,213.0530000
XO-3 b,2007,,12.15000,0.283300,,213.0530000
XO-3 b,2007,1.248,11.83000,,1729,213.0530000
XO-3 b,2007,,,0.276900,,213.0530000
XO-3 b,2007,1.950,13.25000,0.260000,,213.0530000
XO-3 b,2007,,,,,213.0530000
XO-3 b,2007,,,,,213.0530000
XO-2 S c,2014,,1.37000,0.152800,,151.3980000
XO-2 S b,2014,,0.26000,0.180000,,151.3980000
XO-2 S b,2014,,0.25900,0.180000,,151.3980000
XO-2 N b,2007,,,,,154.2730000
XO-2 N b,2007,0.983,0.56600,,1319,154.2730000
XO-2 N b,2007,1.019,0.59500,0.006000,,154.2730000
XO-2 N b,2007,0.996,0.56500,,,154.2730000
XO-2 N b,2007,1.019,0.59700,0.006000,,154.2730000
XO-2 N b,2007,,,,,154.2730000
XO-2 N b,2007,1.171,,,1267,154.2730000
XO-2 N b,2007,0.992,0.55500,,1328,154.2730000
XO-2 N b,2007,0.984,0.59300,,1328,154.2730000
XO-2 N b,2007,,,0.000000,,154.2730000
XO-2 N b,2007,0.993,0.56600,,,154.2730000
XO-2 N b,2007,,0.62900,0.028000,,154.2730000
XO-2 N b,2007,,,,,154.2730000
XO-1 b,2006,1.206,0.91800,,1196,163.5530000
XO-1 b,2006,1.234,,,1179,163.5530000
XO-1 b,2006,,,,,163.5530000
XO-1 b,2006,,,,,163.5530000
XO-1 b,2006,,,,,163.5530000
XO-1 b,2006,1.184,0.90000,,1100,163.5530000
XO-1 b,2006,1.210,0.92000,0.000000,,163.5530000
XO-1 b,2006,1.300,0.90000,,,163.5530000
XO-1 b,2006,,,,,163.5530000
XO-1 b,2006,1.140,0.83000,0.000000,,163.5530000
XO-1 b,2006,1.206,0.91300,0.019000,,163.5530000
XO-1 b,2006,1.206,0.92400,,1210,163.5530000
XO-1 b,2006,1.340,,,,163.5530000
XO-1 b,2006,,,,,163.5530000
Wolf 503 b,2018,0.182,0.01973,0.409000,789,44.5260000
Wolf 503 b,2018,0.181,,,805,44.5260000
Wolf 503 b,2018,0.182,0.01970,0.410000,790,44.5260000
Wolf 1069 b,2023,,0.00396,,250,9.5834100
Wolf 1061 d,2015,,0.01639,0.320000,,4.3059200
Wolf 1061 d,2015,,0.02423,0.550000,,4.3059200
Wolf 1061 c,2015,,0.01073,0.110000,,4.3059200
Wolf 1061 c,2015,,0.01337,0.190000,,4.3059200
Wolf 1061 b,2015,,0.00601,0.150000,,4.3059200
Wolf 1061 b,2015,,0.00428,0.000000,,4.3059200
Wendelstein-2 b,2020,1.159,0.73100,0.057000,2470,565.5410000
Wendelstein-2 b,2020,1.813,,,1045,565.5410000
Wendelstein-1 b,2020,1.221,,,833,305.3000000
Wendelstein-1 b,2020,1.031,0.59200,0.012000,2198,305.3000000
WTS-2 b,2014,1.363,1.27000,0.350000,,
WTS-2 b,2014,1.363,1.12000,0.000000,2000,
WTS-2 b,2014,,,,1811,
WTS-1 b,2012,1.490,4.01000,0.100000,1500,2346.0100000
WISEP J121756.91+162640.2 A b,2012,0.934,22.00000,,450,
WISE J033605.05-014350.4 b,2023,,8.25000,,325,
WD 1856+534 b,2020,,,,1626,24.7359000
WD 1856+534 b,2020,0.928,13.80000,0.000000,163,24.7359000
WD 0806-661 b,2011,,8.00000,,340,19.2444000
WD 0806-661 b,2011,,7.50000,,323,19.2444000
WASP-99 b,2014,1.100,2.80000,0.010000,,158.6600000
WASP-99 b,2014,,,,,158.6600000
WASP-99 b,2014,1.100,2.78000,0.000000,1480,158.6600000
WASP-99 b,2014,,,,,158.6600000
WASP-99 b,2014,1.133,,,1368,158.6600000
WASP-99 b,2014,1.020,2.43000,0.000000,,158.6600000
WASP-98 b,2014,1.144,0.92200,,1171,281.7420000
WASP-98 b,2014,,,,,281.7420000
WASP-98 b,2014,1.100,0.84800,0.070000,,281.7420000
WASP-98 b,2014,1.129,,,1034,281.7420000
WASP-98 b,2014,1.100,0.83000,0.000000,1180,281.7420000
WASP-98 b,2014,,,,,281.7420000
WASP-97 b,2014,,,,,151.0680000
WASP-97 b,2014,1.140,1.36000,0.000000,,151.0680000
WASP-97 b,2014,,,,,151.0680000
WASP-97 b,2014,1.130,1.32000,0.000000,1555,151.0680000
WASP-97 b,2014,,,,,151.0680000
WASP-97 b,2014,1.130,1.32300,0.019000,,151.0680000
WASP-97 b,2014,1.190,,,1494,151.0680000
WASP-96 b,2014,1.200,0.48000,0.000000,1285,352.4640000
WASP-96 b,2014,1.281,,,1233,352.4640000
WASP-96 b,2014,,,,,352.4640000
WASP-96 b,2014,,,,,352.4640000
WASP-96 b,2014,,,,,352.4640000
WASP-96 b,2014,1.200,0.49000,0.110000,,352.4640000
WASP-95 b,2014,1.230,1.44000,0.000000,,137.5440000
WASP-95 b,2014,,,,,137.5440000
WASP-95 b,2014,,,,,137.5440000
WASP-95 b,2014,,,,,137.5440000
WASP-95 b,2014,1.210,1.20400,0.018000,,137.5440000
WASP-95 b,2014,1.210,1.13000,0.000000,1570,137.5440000
WASP-95 b,2014,1.222,,,1549,137.5440000
WASP-94 B b,2014,,0.61800,0.000000,,208.6960000
WASP-94 A b,2014,1.720,0.45200,0.130000,1604,211.2110000
WASP-94 A b,2014,1.758,,,1550,211.2110000
WASP-94 A b,2014,1.580,0.50000,0.000000,,211.2110000
WASP-94 A b,2014,,,,,211.2110000
WASP-94 A b,2014,1.720,0.45600,0.064000,,211.2110000
WASP-93 b,2016,1.597,1.47000,0.000000,1942,370.2840000
WASP-93 b,2016,1.631,,,1809,370.2840000
WASP-93 b,2016,,,,,370.2840000
WASP-93 b,2016,,,,,370.2840000
WASP-93 b,2016,,,,,370.2840000
WASP-93 b,2016,1.291,,,,370.2840000
WASP-92 b,2016,,,,,575.8890000
WASP-92 b,2016,1.255,,,,575.8890000
WASP-92 b,2016,,,,,575.8890000
WASP-92 b,2016,,,,,575.8890000
WASP-92 b,2016,1.461,0.80500,0.000000,1871,575.8890000
WASP-92 b,2016,1.270,,,1619,575.8890000
WASP-91 b,2017,,,,,149.9420000
WASP-91 b,2017,,,,,149.9420000
WASP-91 b,2017,1.050,,,1089,149.9420000
WASP-91 b,2017,1.030,1.34000,0.000000,1160,149.9420000
WASP-90 b,2016,1.630,0.63000,0.000000,1840,466.4330000
WASP-90 b,2016,1.491,,,1639,466.4330000
WASP-90 b,2016,,,,,466.4330000
WASP-89 b,2015,,,,,290.9460000
WASP-89 b,2015,1.040,5.80000,0.192800,,290.9460000
WASP-89 b,2015,1.040,5.90000,0.193000,1120,290.9460000
WASP-88 b,2014,1.460,0.42000,0.000000,,523.7560000
WASP-88 b,2014,1.700,0.56000,0.000000,1772,523.7560000
WASP-88 b,2014,,,,,523.7560000
WASP-88 b,2014,1.646,,,1584,523.7560000
WASP-88 b,2014,1.700,0.57000,0.130000,,523.7560000
WASP-87 b,2016,1.320,,,2050,298.3920000
WASP-87 b,2016,1.385,2.18000,0.000000,,298.3920000
WASP-87 b,2016,,,,,298.3920000
WASP-85 A b,2016,0.990,,,,141.8870000
WASP-85 A b,2016,,,,1283,141.8870000
WASP-85 A b,2016,,,,,141.8870000
WASP-85 A b,2016,1.240,1.26500,0.000000,1452,141.8870000
WASP-85 A b,2016,,,,,141.8870000
WASP-85 A b,2016,0.946,,,,141.8870000
WASP-85 A b,2016,0.990,,,,141.8870000
WASP-84 c,2023,0.445,,,1719,100.5880000
WASP-84 c,2023,0.174,0.04800,,1329,100.5880000
WASP-84 b,2014,1.077,,,676,100.5880000
WASP-84 b,2014,0.956,0.69200,,732,100.5880000
WASP-84 b,2014,0.976,0.68700,0.000000,833,100.5880000
WASP-84 b,2014,0.942,0.69400,0.000000,797,100.5880000
WASP-84 b,2014,0.942,0.69400,0.077000,,100.5880000
WASP-84 b,2014,,,,,100.5880000
WASP-84 b,2014,,,,,100.5880000
WASP-83 b,2015,1.088,,,1095,271.1030000
WASP-83 b,2015,1.040,0.30000,0.000000,1120,271.1030000
WASP-83 b,2015,,,,,271.1030000
WASP-83 b,2015,,,,,271.1030000
WASP-83 b,2015,1.040,0.30500,0.120000,,271.1030000
WASP-83 b,2015,,,,,271.1030000
WASP-82 b,2015,1.650,,,2151,275.6640000
WASP-82 b,2015,1.670,1.24000,0.000000,2190,275.6640000
WASP-82 b,2015,,,,,275.6640000
WASP-82 b,2015,1.620,1.17000,0.000000,,275.6640000
WASP-82 b,2015,1.710,1.25000,0.000000,2200,275.6640000
WASP-82 b,2015,,,,,275.6640000
WASP-81 b,2017,1.298,,,1446,398.5050000
WASP-81 b,2017,,,,,398.5050000
WASP-81 b,2017,1.429,0.72900,0.066000,1623,398.5050000
WASP-80 b,2012,,,,,49.7876000
WASP-80 b,2012,0.999,0.53800,0.002000,825,49.7876000
WASP-80 b,2012,1.053,,,744,49.7876000
WASP-80 b,2012,,,,,49.7876000
WASP-80 b,2012,0.952,0.55400,0.070000,,49.7876000
WASP-80 b,2012,0.986,0.56200,,825,49.7876000
WASP-80 b,2012,,,0.000000,600,49.7876000
WASP-80 b,2012,0.952,0.54000,0.020000,,49.7876000
WASP-80 b,2012,0.950,0.55000,0.000000,800,49.7876000
WASP-8 c,2013,,9.45000,0.000000,,89.9606000
WASP-8 b,2010,,,0.304000,,89.9606000
WASP-8 b,2010,1.130,2.54000,0.310000,,89.9606000
WASP-8 b,2010,1.000,2.20000,0.300000,950,89.9606000
WASP-8 b,2010,,2.24000,0.304400,,89.9606000
WASP-8 b,2010,1.137,,,875,89.9606000
WASP-8 b,2010,1.038,2.13200,0.305700,,89.9606000
WASP-8 b,2010,1.038,2.24400,0.310000,,89.9606000
WASP-8 b,2010,,,,,89.9606000
WASP-79 b,2012,1.530,0.85000,0.000000,1716,246.6900000
WASP-79 b,2012,,,,,246.6900000
WASP-79 b,2012,1.542,,,1625,246.6900000
WASP-79 b,2012,,,,,246.6900000
WASP-79 b,2012,1.820,0.84300,0.066000,,246.6900000
WASP-79 b,2012,,,,,246.6900000
WASP-79 b,2012,1.670,0.85000,0.000000,,246.6900000
WASP-79 b,2012,1.530,0.85000,0.000000,1716,246.6900000
WASP-79 b,2012,,,,,246.6900000
WASP-79 b,2012,2.090,0.90000,0.000000,1900,246.6900000
WASP-78 b,2012,1.930,1.11000,0.000000,,754.2580000
WASP-78 b,2012,1.700,0.89000,0.000000,2350,754.2580000
WASP-78 b,2012,1.676,,,2124,754.2580000
WASP-78 b,2012,2.060,0.86000,0.000000,2470,754.2580000
WASP-78 b,2012,1.590,0.81700,0.092000,,754.2580000
WASP-78 b,2012,,,,,754.2580000
WASP-78 b,2012,,,,,754.2580000
WASP-78 b,2012,,,,,754.2580000
WASP-77 A b,2012,,,,,105.1660000
WASP-77 A b,2012,1.168,,,1544,105.1660000
WASP-77 A b,2012,1.210,1.76300,0.007500,,105.1660000
WASP-77 A b,2012,1.200,1.80000,0.000000,1650,105.1660000
WASP-77 A b,2012,1.380,2.29000,0.000000,,105.1660000
WASP-77 A b,2012,1.210,1.76000,0.000000,1674,105.1660000
WASP-77 A b,2012,1.210,1.76000,0.000000,,105.1660000
WASP-77 A b,2012,,,,,105.1660000
WASP-77 A b,2012,1.230,1.66700,0.007400,1715,105.1660000
WASP-76 b,2016,1.830,0.92000,0.000000,2160,194.4590000
WASP-76 b,2016,,,,,194.4590000
WASP-76 b,2016,,,,,194.4590000
WASP-76 b,2016,1.959,,,2159,194.4590000
WASP-75 b,2013,1.386,,,,294.0010000
WASP-75 b,2013,,,,,294.0010000
WASP-75 b,2013,1.270,1.07300,0.056000,,294.0010000
WASP-75 b,2013,1.198,,,1654,294.0010000
WASP-75 b,2013,1.392,,,,294.0010000
WASP-75 b,2013,1.053,,,,294.0010000
WASP-75 b,2013,1.270,1.07000,0.000000,1710,294.0010000
WASP-75 b,2013,,,,,294.0010000
WASP-75 b,2013,,,,,294.0010000
WASP-74 b,2015,,,,,149.2160000
WASP-74 b,2015,1.560,0.94400,0.030000,,149.2160000
WASP-74 b,2015,1.404,0.82600,,1926,149.2160000
WASP-74 b,2015,1.360,0.72000,0.000000,,149.2160000
WASP-74 b,2015,,,,,149.2160000
WASP-74 b,2015,1.560,0.95000,0.000000,1910,149.2160000
WASP-73 b,2014,1.420,2.86000,0.000000,,316.6780000
WASP-73 b,2014,1.215,,,1755,316.6780000
WASP-73 b,2014,,,,,316.6780000
WASP-73 b,2014,,,,,316.6780000
WASP-73 b,2014,1.160,1.87900,0.017000,,316.6780000
WASP-73 b,2014,,,,,316.6780000
WASP-73 b,2014,1.160,1.88000,0.000000,1790,316.6780000
WASP-72 b,2012,,,,,434.7540000
WASP-72 b,2012,,,,,434.7540000
WASP-72 b,2012,1.270,1.54610,0.000000,2210,434.7540000
WASP-72 b,2012,1.270,1.54610,0.000000,,434.7540000
WASP-72 b,2012,1.290,2.30000,0.000000,,434.7540000
WASP-72 b,2012,1.270,1.44600,0.017000,,434.7540000
WASP-72 b,2012,1.628,,,1864,434.7540000
WASP-71 b,2012,1.460,2.22200,0.019000,,362.7150000
WASP-71 b,2012,,,,,362.7150000
WASP-71 b,2012,1.180,1.39000,0.000000,,362.7150000
WASP-71 b,2012,,,,,362.7150000
WASP-71 b,2012,1.311,,,1945,362.7150000
WASP-71 b,2012,1.460,2.24200,0.000000,2049,362.7150000
WASP-70 A b,2014,1.164,0.59000,0.000000,1387,222.3550000
WASP-70 A b,2014,,,,,222.3550000
WASP-70 A b,2014,1.164,0.59700,0.053000,,222.3550000
WASP-7 b,2008,1.363,1.08300,0.049000,,162.3030000
WASP-7 b,2008,1.363,0.96000,,1502,162.3030000
WASP-7 b,2008,1.168,,,1386,162.3030000
WASP-7 b,2008,0.915,0.96000,0.000000,1379,162.3030000
WASP-7 b,2008,,0.96000,0.000000,,162.3030000
WASP-7 b,2008,,,,,162.3030000
WASP-7 b,2008,1.374,0.98000,,1530,162.3030000
WASP-7 b,2008,,,,,162.3030000
WASP-7 b,2008,1.070,1.25000,0.000000,,162.3030000
WASP-7 b,2008,1.330,0.96000,,1487,162.3030000
WASP-7 b,2008,,1.13100,0.034000,,162.3030000
WASP-69 b,2014,,,,,49.9605000
WASP-69 b,2014,1.057,0.26000,0.000000,963,49.9605000
WASP-69 b,2014,1.110,0.29000,0.000000,,49.9605000
WASP-69 b,2014,1.057,0.25000,0.110000,,49.9605000
WASP-69 b,2014,1.094,,,935,49.9605000
WASP-69 b,2014,1.057,0.26000,0.000000,963,49.9605000
WASP-68 b,2014,1.320,1.08000,0.000000,,226.3990000
WASP-68 b,2014,1.240,0.95000,0.000000,1490,226.3990000
WASP-68 b,2014,1.240,0.95700,0.023000,,226.3990000
WASP-67 b,2012,1.400,0.42000,0.015000,,189.4690000
WASP-67 b,2012,1.091,0.40600,,1003,189.4690000
WASP-67 b,2012,1.150,0.43000,0.000000,,189.4690000
WASP-67 b,2012,,,,,189.4690000
WASP-67 b,2012,1.400,0.42000,0.200000,,189.4690000
WASP-67 b,2012,,,,,189.4690000
WASP-66 b,2012,1.400,2.35000,0.000000,,500.2580000
WASP-66 b,2012,,,,,500.2580000
WASP-66 b,2012,1.152,,,1570,500.2580000
WASP-66 b,2012,1.390,2.32000,0.000000,,500.2580000
WASP-66 b,2012,,,,,500.2580000
WASP-66 b,2012,1.390,2.37000,0.046000,,500.2580000
WASP-66 b,2012,1.390,2.32000,0.110000,,500.2580000
WASP-65 b,2013,,,,,273.7030000
WASP-65 b,2013,1.275,,,1480,273.7030000
WASP-65 b,2013,1.112,1.55000,0.000000,1480,273.7030000
WASP-65 b,2013,,,,,273.7030000
WASP-65 b,2013,1.112,1.54000,0.016000,,273.7030000
WASP-64 b,2012,,,,,369.9260000
WASP-64 b,2012,,,,,369.9260000
WASP-64 b,2012,1.314,,,1604,369.9260000
WASP-64 b,2012,1.271,1.27100,0.000000,1689,369.9260000
WASP-64 b,2012,1.271,1.22100,0.054000,,369.9260000
WASP-63 b,2012,,,,,290.6840000
WASP-63 b,2012,1.330,0.33900,0.086000,,290.6840000
WASP-63 b,2012,,,,,290.6840000
WASP-63 b,2012,1.410,0.37000,0.000000,,290.6840000
WASP-63 b,2012,1.430,0.38000,0.220000,,290.6840000
WASP-63 b,2012,1.354,,,1470,290.6840000
WASP-62 b,2012,,,,,175.6310000
WASP-62 b,2012,,,,,175.6310000
WASP-62 b,2012,,,,,175.6310000
WASP-62 b,2012,,,,,175.6310000
WASP-62 b,2012,1.390,0.56800,0.075000,,175.6310000
WASP-62 b,2012,1.340,0.58000,0.000000,1475,175.6310000
WASP-62 b,2012,1.390,0.57000,0.210000,,175.6310000
WASP-62 b,2012,,,,,175.6310000
WASP-62 b,2012,1.389,,,1473,175.6310000
WASP-62 b,2012,1.320,0.52000,0.000000,,175.6310000
WASP-61 b,2012,1.296,,,1456,488.6600000
WASP-61 b,2012,1.240,2.06000,0.260000,,488.6600000
WASP-61 b,2012,,,,,488.6600000
WASP-61 b,2012,,,,,488.6600000
WASP-61 b,2012,1.410,2.68000,0.000000,,488.6600000
WASP-61 b,2012,,,,,488.6600000
WASP-61 b,2012,1.210,2.06000,0.000000,1624,488.6600000
WASP-61 b,2012,1.240,2.05000,0.074000,,488.6600000
WASP-60 b,2012,,,,,431.0520000
WASP-60 b,2012,0.860,0.51400,0.000000,1320,431.0520000
WASP-60 b,2012,1.225,0.56000,,1479,431.0520000
WASP-60 b,2012,0.860,0.50500,0.064000,,431.0520000
WASP-60 b,2012,0.880,0.55000,0.000000,,431.0520000
WASP-60 b,2012,1.235,,,1407,431.0520000
WASP-60 b,2012,,,,,431.0520000
